rows,cols,metric,neighb,alpha0,alphaF,lambdaF,final_QE
18,12,L1,gauss,0.5,0.02,0.5,0.3208585216247166
18,12,L1,gauss,0.5,0.02,0.3,0.231723130281275
18,12,L1,gauss,0.5,0.02,1e-06,0.11362599551051453
18,12,L1,gauss,0.5,0.01,0.5,0.35718525114989963
18,12,L1,gauss,0.5,0.01,0.3,0.2893755521198729
18,12,L1,gauss,0.5,0.01,1e-06,0.12605885866661448
18,12,L1,disc,0.5,0.02,1.0,0.3713097155823284
18,12,L1,disc,0.5,0.02,2.0,0.48677366430230656
18,12,L1,disc,0.5,0.01,1.0,0.38287273626410456
18,12,L1,disc,0.5,0.01,2.0,0.49813216998479243
18,12,L2,gauss,0.5,0.02,0.5,0.3487606304258469
18,12,L2,gauss,0.5,0.02,0.3,0.2622418664877959
18,12,L2,gauss,0.5,0.02,1e-06,0.10689169819529339
18,12,L2,gauss,0.5,0.01,0.5,0.38279192204919577
18,12,L2,gauss,0.5,0.01,0.3,0.3032312832946761
18,12,L2,gauss,0.5,0.01,1e-06,0.11631115636968124
18,12,L2,disc,0.5,0.02,1.0,0.38319198060775783
18,12,L2,disc,0.5,0.02,2.0,0.514254646099197
18,12,L2,disc,0.5,0.01,1.0,0.39100375052062425
18,12,L2,disc,0.5,0.01,2.0,0.5252953142958423
18,12,Linf,gauss,0.5,0.02,0.5,0.36845156150417857
18,12,Linf,gauss,0.5,0.02,0.3,0.2840835046036646
18,12,Linf,gauss,0.5,0.02,1e-06,0.12047248948721473
18,12,Linf,gauss,0.5,0.01,0.5,0.4082078708606072
18,12,Linf,gauss,0.5,0.01,0.3,0.3199848235158736
18,12,Linf,gauss,0.5,0.01,1e-06,0.14515593464530036
18,12,Linf,disc,0.5,0.02,1.0,0.43150858443591955
18,12,Linf,disc,0.5,0.02,2.0,0.5942081293035989
18,12,Linf,disc,0.5,0.01,1.0,0.4432744106931957
18,12,Linf,disc,0.5,0.01,2.0,0.5876323127329055
21,9,L1,gauss,0.5,0.02,0.5,0.3312090891258975
21,9,L1,gauss,0.5,0.02,0.3,0.2656141487550573
21,9,L1,gauss,0.5,0.02,1e-06,0.14899804345446063
21,9,L1,gauss,0.5,0.01,0.5,0.372754430228608
21,9,L1,gauss,0.5,0.01,0.3,0.3062618706991463
21,9,L1,gauss,0.5,0.01,1e-06,0.1497381494246146
21,9,L1,disc,0.5,0.02,1.0,0.3972792396572854
21,9,L1,disc,0.5,0.02,2.0,0.5119114952321326
21,9,L1,disc,0.5,0.01,1.0,0.41201979380441106
21,9,L1,disc,0.5,0.01,2.0,0.5308436341502951
21,9,L2,gauss,0.5,0.02,0.5,0.35919202007391693
21,9,L2,gauss,0.5,0.02,0.3,0.279321633696964
21,9,L2,gauss,0.5,0.02,1e-06,0.1429401771374368
21,9,L2,gauss,0.5,0.01,0.5,0.3986237568695394
21,9,L2,gauss,0.5,0.01,0.3,0.327947041143665
21,9,L2,gauss,0.5,0.01,1e-06,0.1395135044117595
21,9,L2,disc,0.5,0.02,1.0,0.39018117527402735
21,9,L2,disc,0.5,0.02,2.0,0.5288998784250137
21,9,L2,disc,0.5,0.01,1.0,0.4212858670477798
21,9,L2,disc,0.5,0.01,2.0,0.553059895867558
21,9,Linf,gauss,0.5,0.02,0.5,0.40078294906255
21,9,Linf,gauss,0.5,0.02,0.3,0.29479571685894046
21,9,Linf,gauss,0.5,0.02,1e-06,0.1569561538053778
21,9,Linf,gauss,0.5,0.01,0.5,0.4276611662391678
21,9,Linf,gauss,0.5,0.01,0.3,0.35019428766324
21,9,Linf,gauss,0.5,0.01,1e-06,0.16448321215169656
21,9,Linf,disc,0.5,0.02,1.0,0.46196771255659846
21,9,Linf,disc,0.5,0.02,2.0,0.6116493971519864
21,9,Linf,disc,0.5,0.01,1.0,0.46547585227193755
21,9,Linf,disc,0.5,0.01,2.0,0.6223680793599977
15,15,L1,gauss,0.5,0.02,0.5,0.3132557675817785
15,15,L1,gauss,0.5,0.02,0.3,0.23602093957529469
15,15,L1,gauss,0.5,0.02,1e-06,0.09633261337304282
15,15,L1,gauss,0.5,0.01,0.5,0.3509977643968786
15,15,L1,gauss,0.5,0.01,0.3,0.28253425737291105
15,15,L1,gauss,0.5,0.01,1e-06,0.11348102214915207
15,15,L1,disc,0.5,0.02,1.0,0.3586448743058797
15,15,L1,disc,0.5,0.02,2.0,0.4923138805835807
15,15,L1,disc,0.5,0.01,1.0,0.37573306347313956
15,15,L1,disc,0.5,0.01,2.0,0.5055015148196716
15,15,L2,gauss,0.5,0.02,0.5,0.3341808012410417
15,15,L2,gauss,0.5,0.02,0.3,0.25252065298337967
15,15,L2,gauss,0.5,0.02,1e-06,0.11004654961414263
15,15,L2,gauss,0.5,0.01,0.5,0.3748006353493652
15,15,L2,gauss,0.5,0.01,0.3,0.30191438227566025
15,15,L2,gauss,0.5,0.01,1e-06,0.09952997606524888
15,15,L2,disc,0.5,0.02,1.0,0.36171605286605824
15,15,L2,disc,0.5,0.02,2.0,0.4885289687424995
15,15,L2,disc,0.5,0.01,1.0,0.3887132418302354
15,15,L2,disc,0.5,0.01,2.0,0.513568724407797
15,15,Linf,gauss,0.5,0.02,0.5,0.36492735115216873
15,15,Linf,gauss,0.5,0.02,0.3,0.2748395137594183
15,15,Linf,gauss,0.5,0.02,1e-06,0.14328291779316274
15,15,Linf,gauss,0.5,0.01,0.5,0.3991487126167806
15,15,Linf,gauss,0.5,0.01,0.3,0.3216187193335396
15,15,Linf,gauss,0.5,0.01,1e-06,0.14006274474712194
15,15,Linf,disc,0.5,0.02,1.0,0.42533539981260526
15,15,Linf,disc,0.5,0.02,2.0,0.581549351126489
15,15,Linf,disc,0.5,0.01,1.0,0.4282465612517205
15,15,Linf,disc,0.5,0.01,2.0,0.5864975116965389
